      ;sc1  ;sc2  ;sc3  ;sc4  ;sc5  ;sc6  ;sc7  ;sc8  ;sc9  ;sc10 ;sc11 ;sc12 ;sc13 ;sc14 ;sc15 ;sc16 ;sc17 ;sc18 ;sc_I_O
sc1    ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc2    ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc3    ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc4    ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc5    ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc6    ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc7    ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc8    ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc9    ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc10   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc11   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc12   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;500
sc13   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;500
sc14   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;500
sc15   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;500
sc16   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;500
sc17   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;500
sc18   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;500
sc_I_O ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;0
