      ;pc1 ;pc2 ;pc3 ;pc4 ;pc5 ;pc6 ;pc7 ;pc8 ;pc9 ;pc10 ;pc11 ;pc12 ;pc13 ;pc14 ;pc15 ;pc_I_O
sc1    ;1   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc2    ;0   ;1   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc3    ;0   ;0   ;1   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc4    ;0   ;0   ;0   ;1   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc5    ;0   ;0   ;0   ;0   ;1   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc6    ;0   ;0   ;0   ;0   ;0   ;1   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc7    ;0   ;0   ;0   ;0   ;0   ;0   ;1   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc8    ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;1   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc9    ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;1   ;0    ;0    ;0    ;0    ;1    ;0    ;0
sc10   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;1    ;0    ;0    ;0    ;0    ;0    ;0
sc11   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;1    ;0    ;0    ;0    ;0    ;0
sc12   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;1    ;0    ;0    ;0    ;0
sc13   ;0   ;0   ;0   ;0   ;1   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;1    ;0    ;0    ;0
sc14   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;1    ;0    ;0
sc15   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;1    ;0
sc16   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;1    ;0    ;0    ;0    ;0    ;0    ;0
sc17   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;1   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc18   ;0   ;0   ;0   ;0   ;0   ;1   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;0
sc_I_O ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0   ;0    ;0    ;0    ;0    ;0    ;0    ;1
