      ;m1  ;m2  ;m3  ;m4  ;m5  ;m6  ;m7  ;m8  ;m9  ;m10 ;m_I_O
m1    ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
m2    ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
m3    ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;500
m4    ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;200 ;500
m5    ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;200 ;500
m6    ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;200 ;500
m7    ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;200 ;500
m8    ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;200 ;500
m9    ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;200 ;500
m10   ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;200 ;0   ;500
m_I_O ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;500 ;0
